4,1
5,39
6,78
7,55
8,63
9,60
10,47
11,39
12,36
13,36
14,41
15,25
16,35
17,19
18,18
19,18
20,11
21,17
22,16
23,11
24,11
25,17
26,15
27,19
28,8
29,8
30,8
31,8
32,8
33,8
34,7
35,1
36,13
37,7
38,6
39,5
40,5
41,3
42,2
43,2
44,2
45,10
46,3
47,2
48,7
49,5
50,6
51,2
52,2
53,4
54,2
55,6
57,6
58,1
59,4
60,2
61,3
62,3
63,3
64,3
65,1
66,4
67,2
69,2
70,2
71,2
72,2
73,1
74,2
75,1
76,1
77,3
78,1
79,2
81,2
84,1
85,1
86,1
88,2
89,2
91,1
92,1
93,1
99,1
102,1
103,1
104,1
105,1
107,1
108,2
111,2
112,1
113,1
114,1
124,1
125,3
127,3
130,2
133,1
135,1
137,1
144,1
146,1
148,1
149,1
163,1
174,1
178,1
181,1
187,1
191,1
193,1
196,1
200,1
202,1
207,1
217,1
219,1
221,1
234,1
243,2
249,1
251,1
269,1
274,2
293,1
311,1
327,1
329,1
331,1
344,1
353,1
358,1
373,1
