5,33
6,68
7,61
8,53
9,57
10,40
11,42
12,30
13,25
14,20
15,26
16,23
17,18
18,15
19,17
20,19
21,11
22,5
23,14
24,14
25,9
26,3
27,6
28,11
29,7
30,14
31,6
32,10
33,4
34,3
36,2
37,3
38,4
39,5
40,7
41,4
42,5
43,4
44,3
45,4
46,7
47,1
48,3
49,4
50,3
51,3
52,1
53,5
54,3
55,2
56,4
57,4
58,2
59,1
62,1
63,2
64,3
65,1
66,1
67,1
71,1
72,3
73,2
74,1
76,1
77,1
78,1
79,2
80,1
81,2
82,2
85,1
86,1
88,2
89,1
93,1
94,1
99,1
101,1
109,1
120,1
126,2
135,1
136,1
141,2
144,2
153,1
155,1
161,1
166,1
167,1
181,1
183,1
184,1
188,2
190,1
208,1
255,1
258,1
274,1
283,1
285,1
317,1
324,1
334,1
365,1
368,1
