3,674
4,676
5,807
6,804
7,717
8,587
9,495
10,428
11,360
12,336
13,277
14,242
15,213
16,214
17,211
18,175
19,159
20,134
21,132
22,112
23,104
24,100
25,60
26,71
27,74
28,81
29,67
30,49
31,50
32,54
33,46
34,44
35,51
36,42
37,35
38,41
39,37
40,41
41,35
42,19
43,29
44,22
45,32
46,26
47,22
48,26
49,26
50,16
51,30
52,26
53,16
54,19
55,16
56,13
57,14
58,19
59,10
60,17
61,6
62,17
63,18
64,19
65,13
66,7
67,17
68,10
69,13
70,16
71,16
72,12
73,8
74,9
75,5
76,8
77,11
78,3
79,8
80,8
81,11
82,7
83,7
84,4
85,5
86,5
87,5
88,11
89,6
90,4
91,6
92,9
93,8
94,3
95,11
96,4
97,5
98,3
99,1
100,2
101,7
102,7
103,7
104,6
105,6
106,3
107,6
108,5
109,6
110,6
111,4
112,4
113,4
114,9
115,3
116,1
117,9
118,1
119,6
120,2
121,3
122,4
123,2
124,5
125,6
126,1
127,6
128,2
129,1
130,3
131,3
132,5
133,3
134,4
135,2
136,7
137,2
138,1
139,3
140,6
141,2
142,5
143,3
144,3
145,3
146,3
147,5
148,3
149,5
150,1
151,3
152,4
153,2
154,3
155,1
156,1
157,2
158,4
159,2
160,7
161,2
162,3
163,1
164,2
165,6
166,1
167,1
168,2
169,2
170,1
171,1
172,2
173,1
174,3
175,1
176,2
178,3
179,3
180,3
182,1
184,3
185,4
186,1
187,2
188,2
190,3
191,4
192,1
193,2
194,5
195,3
196,1
201,3
202,2
203,2
204,1
205,2
206,1
207,1
208,2
209,1
210,1
211,1
213,3
214,3
217,2
218,1
220,3
222,1
223,1
224,2
225,1
226,1
227,1
228,1
233,2
235,1
236,5
238,1
239,1
241,2
243,4
244,2
245,1
246,1
247,1
249,2
250,1
251,1
263,1
264,2
265,1
268,1
269,2
270,1
275,1
276,1
278,1
283,1
286,1
289,1
292,1
293,1
302,1
303,1
304,1
311,1
313,1
317,1
321,1
323,2
325,1
332,1
334,1
335,1
341,1
342,1
345,1
350,2
357,1
359,1
369,2
377,1
382,1
384,1
391,1
396,1
401,2
425,1
434,2
435,1
441,1
449,1
457,1
464,1
477,1
488,1
495,1
508,1
528,1
804,1
