4,3
5,30
6,65
7,68
8,82
9,59
10,37
11,59
12,31
13,43
14,33
15,31
16,27
17,24
18,26
19,20
20,21
21,20
22,15
23,22
24,6
25,14
26,10
27,12
28,13
29,6
30,12
31,12
32,6
33,7
34,5
35,3
36,4
37,6
38,2
39,3
40,3
41,4
42,8
43,6
44,1
45,9
46,3
48,1
49,4
50,2
51,1
52,3
53,3
54,2
55,3
56,2
57,1
58,2
59,4
61,2
62,2
64,2
66,2
67,3
68,5
69,1
70,1
71,1
72,2
74,1
76,2
77,2
78,3
79,1
80,2
83,3
84,3
85,2
89,1
91,4
92,2
93,2
95,1
96,2
98,1
99,2
100,1
101,1
102,1
104,1
106,1
109,1
110,1
111,2
112,1
113,1
117,1
118,1
120,1
123,1
131,1
138,1
142,1
148,1
151,1
154,2
156,3
158,1
162,1
165,1
167,1
173,1
175,1
178,1
180,1
187,1
193,1
196,1
220,1
230,1
233,1
253,1
278,1
279,1
344,1
345,1
467,1
665,1
